"Species","Lat","Long","bio7","bio8","bio15","bio18","bio19"
"Sp2",-7.74,-76.66,12.5980003738403,23.8353330230713,28.5514820671081,601.640000000002,305.440000000001
"Sp2",-7.32,-76.69,12.6609988403319,26.4043334960939,29.8272879028322,461.550000000001,265.019999999997
"Sp2",-6.62,-76.18,12.9099998283385,26.3463340377807,29.0599033164973,401.849999999985,252.539999999999
"Sp2",-6.62,-76.17,12.8370009040832,26.2955011749267,29.348013973236,403.519999999999,250.72
"Sp2",-6.6,-76.15,12.8249998092652,26.5708332061765,30.2350864410396,441.999999999976,257.999999999996
"Sp2",-6.62,-76.19,12.8770002174377,26.2458332824708,28.5768828201297,388.350000000008,251.280000000001
"Sp2",-6.63,-76.57,13.3900011253357,24.4823333930967,20.9831521224976,351.920000000002,284.210000000003
"Sp2",-6.58,-76.5,13.7949994087219,25.1675004005432,22.0606611251831,344.35,270.1
"Sp2",-6.64,-76.58,13.4000001907349,24.6720000457764,21.2608650398254,350.46,275.64
"Sp2",-6.64,-76.71,13.5299991416932,26.0768333625795,24.8742693901065,347.380000000003,240.159999999998
"Sp2",-6.71,-76.7,13.4850011825562,26.3216671943665,25.7205614089966,348.15,236.55
"Sp2",-7.43,-76.66,12.5659989929199,26.225666923523,29.2302728652954,537.03,311.410000000001
"Sp3",-6.4,-76.27,12.8999997138977,25.6216670036316,24.3107794761657,465.399999999998,316.15
"Sp3",-6.39,-76.28,12.9029984283447,25.5181664657593,23.6838709259033,459.230000000001,319.9
"Sp3",-6.35,-76.3,12.8250007629394,26.0791664123535,25.077717781067,530.500000000002,342
"Sp3",-6.28,-76.29,12.66599943161,26.7921660232543,28.9343001937866,673.369999999993,367.019999999996
"Sp3",-6.29,-76.28,12.6929989624023,26.8271654891968,28.9189141273498,683,372.84
"Sp3",-6.32,-76.28,12.6910007286072,26.7683330535889,27.7751567649841,697.630000000001,393.000000000001
"Sp3",-6.05,-77.04,13.180000114441,23.3241666793826,27.9815943717954,402.300000000013,234.500000000006
"Sp3",-6.04,-77.05,13.2499997138977,23.35083360672,28.223676109314,403.9,233.4
"Sp3",-6.05,-77.03,13.1499997138977,23.3791672706604,28.3714250564575,405.75,233.45
"Sp3",-6.1,-76.26,12.415001296997,27.061665725708,30.0239143371581,614.000000000002,415.15
"Sp3",-5.89,-76.14,12,27.1449996948242,28.7497130584717,548.6,394.72
"Sp3",-5.88,-76.35,12.0000019073486,26.8558336257934,28.8418933868409,553.349999999999,389.699999999998
"Sp3",-5.91,-76.43,11.9900001525877,26.8064991378783,28.433880329132,578.140000000014,394.33
"Sp3",-5.9,-76.4,12.0250010490417,26.8416657447815,28.6375308036803,571.000000000032,392.25
"Sp3",-6.11,-77.03,13.1699994468689,23.0391668319702,27.8091819190979,387.04,228.94
"Sp3",-6.03,-77.17,13.1999988555908,23.459833946228,26.2299570274353,406.199999999999,238.1
"Sp3",-6.28,-76.17,12.6000003814697,27,29.5880081176758,681.81,432.580000000012
"Sp3",-6.22,-75.94,12.3929989624023,26.9164994239807,29.4030473518371,577.329999999999,413.100000000002
"Sp3",-6.23,-75.82,12.3189993095399,27.1301665878296,30.5320372772221,551.809999999996,380.009999999996
"Sp3",-6.03,-77,13.1949989318848,23.3799998283386,29.0181283950806,403.9,228.6
"Sp3",-5.8,-76.18,11.8049991607667,26.9791668891906,28.1930089950563,549.650000000002,395.899999999998
"Sp3",-6.04,-77.13,13.0999984741211,23.5593324279785,26.861186504364,409.97,238.27
